Group No;Group Name;Name;Sub Name;Repeater Call Sign;Gateway Call Sign;Frequency;Dup;Offset;Mode;TONE;Repeater Tone;RPT1USE;Position;Latitude;Longitude;UTC Offset
1;Acre;Rio Branco;CHAMADA;;;146.520000;DUP+;0.000000;FM;OFF;88.5Hz;YES;Approximate;-9.974017;-67.809783;-5:00
2;Alagoas;Maceio;CHAMADA;;;146.520000;DUP+;0.000000;FM;OFF;88.5Hz;YES;Approximate;-9.666033;-35.735233;-3:00
3;Amapa;Macapa;;;;146.210000;DUP+;0.600000;FM;OFF;88.5Hz;YES;Approximate;0.034517;-51.065700;-3:00
3;Amapa;Macapa;;;;147.100000;DUP+;0.600000;FM;OFF;88.5Hz;YES;Approximate;0.034517;-51.065700;-3:00
3;Amapa;Macapa;;;;147.810000;DUP-;0.600000;FM;OFF;88.5Hz;YES;Approximate;0.034517;-51.065700;-3:00
3;Amapa;Macapa;;;;146.620000;DUP-;0.600000;FM;TONE;88.5Hz;YES;Approximate;0.034517;-51.065700;-3:00
4;Amazonas;Manaus;;;;146.340000;DUP+;0.600000;FM;OFF;88.5Hz;YES;Approximate;-3.123850;-60.020583;-4:00
4;Amazonas;Manaus;;;;146.910000;DUP-;0.600000;FM;OFF;88.5Hz;YES;Approximate;-3.123850;-60.020583;-4:00
5;Bahia;Camacari;;PY6AD;;145.210000;DUP-;0.600000;FM;TONE;123.0Hz;YES;Approximate;-12.693583;-38.323383;-3:00
5;Bahia;Conceicao Coite;;;;146.210000;DUP+;0.600000;FM;OFF;88.5Hz;YES;Approximate;-11.602483;-39.331900;-3:00
5;Bahia;Conde;;;;147.390000;DUP+;0.600000;FM;OFF;88.5Hz;YES;Approximate;-11.826100;-37.635100;-3:00
5;Bahia;Conde;;;;147.390000;DUP+;0.600000;FM;TONE;88.5Hz;YES;Approximate;-11.826100;-37.635100;-3:00
5;Bahia;Feira de Santana;;;;145.230000;DUP-;0.600000;FM;OFF;88.5Hz;YES;Approximate;-12.255383;-38.955683;-3:00
5;Bahia;Feira de Santana;;;;145.470000;DUP-;0.600000;FM;OFF;88.5Hz;YES;Approximate;-12.255383;-38.955683;-3:00
5;Bahia;Feira de Santana;;;;146.370000;DUP+;0.600000;FM;OFF;88.5Hz;YES;Approximate;-12.255383;-38.955683;-3:00
